Particulars,,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
Secured,"urities of long-term debt - Term Loan From Banks and Financial Institutions
urities of long-term debt - Vehicle Loan
urities of long-term debt - Term Loan From Financial Institution
pital Loans from Bank
irector, Related Party (Refer Note 52)","65.26
0 .60
-
-
-","61.72
0 .56
-
2 .75
-","41.90
-
-
-
-","152.33
-
69.85
-
1 .10"
"Current mat
Current mat",,,,,
Unsecured,,,,,
"Current mat
Working Ca
Loan from D",,,,,
,,65.86,65.03,41.90,223.28
"28.1)WorkingCapitalLoanfromKotakMahindraBankLimitedissecuredbywayoffirstparipassuhypothecationchargetobesharedwithBanksonallexistingandfuturecurrentassetsofthe
CompanyexcludingchargeonspecificstocksandreceivablesinrespectofprojectofNuclearPowerCorporationofIndiaLimitedandcurrentassetsofwindpowerprojectsofRajkotand
Khambhaliya. The loan is repayable within a period not exceeding 90 days. It carries interest rate in the range of 10% to 11%.
28.2)WorkingCapitalLoanfromStandardCharteredBankavailedbySubsidiaryissecuredbyfirstparipassuchargeoncurrentassets,bothpresentandfutureofthesubsidiaryandCorporate
Guarantee from the Company. The loan is repayable on demand.",,,,,
