Description,30.09.2025,31.03.2025
Revenue,50.34,7 5.92
Other Income,0.19,0 .26
Cost of Raw Materials Consumed,19.89,3 2.58
Employee Benefit Expenses,3.78,4 .29
Finance Costs,0.09,0 .20
Depreciation & Impairment Expense,0.79,1 .60
Other Expenses,8.08,1 3.25
Profit Before Tax,17.90,2 4.26
Tax Expenses,4.52,6 .18
Other Comprehensive Income,( 0.02),( 0.01)
Profit After Tax,13.36,1 8.07
Group’s share of profit for the period/year,6.68,9 .03
