Description,30.09.2025,31.03.2025
Current Assets,49.61,3 3.58
Non-Current Assets,10.67,1 0.92
Non-Current Liabilities,1.41,1 .46
Current Liabilities,10.52,4 .05
Equity,48.36,3 8.99
Proportion of Group’s ownership,50%,50%
Carrying amount of investment,24.18,1 9.50
