"A) Accounting Classification and Fair Values:
Carryingamountsandfairvaluesoffinancialassetsandfinancialliabilities,includingtheirlevelsinthefairvaluehierarchy,arepresented
below.Itdoesnotincludethefairvalueinformationforfinancialassetsandfinancialliabilitiesnotmeasuredatfairvalueifthecarrying
amount is a reasonable approximation of fair value.
Fair value hierarchy
Level 1 -Level 1hierarchy includesfinancial instrumentsmeasured usingquoted prices.Thisincludesmutual fundsthat havedeclared
buyback NAV. The mutual funds are valued using the closing NAV.
Level2-Thefairvalueoffinancialinstrumentsthatarenottradedinanactivemarket(likeMarktoMarketDerivatives)isdeterminedusing
valuation techniques which maximise the use of observable market data and rely as little as possible on entity-specific estimates. If all
significant inputs required to fair value as instrument are observable, the instrument is included in level 2.
Level 3 - If one or more of the significant inputs is not based on observable market data, the instrument is included in level 3.
As at 30.09.2025
Financial Instruments by Carrying Amount Fair Value
Category
FVTPL Derivatives Amortised Cost Level I Level II Level III
designated as
hedge
Financial Assets:
Non-Current Investments – Others 3 8.33 - - 38.33 - -
Non-Current Loans - - 0.34 - - -
Other Non-Current Financial - - 12.57 - - -
Assets
Current Investments 3 43.01 - - 3 43.01 - -
Trade Receivables - - 342.37 - - -
Cash & Cash Equivalents - - 54.81 - - -
Other Bank Balance - - 31.51 - - -
Current Loans - - 0.79 - - -
Other Current Financial Assets - - 17.97 - - -
Financial Liabilities:
Non-Current Borrowings - - 506.09 - - -
Non-Current Lease Liabilities - - 12.56 - - -
Current Borrowings - - 65.86 - - -
Current Lease Liabilities - - 1.36 - - -
Trade Payables - - 387.49 - - -
Other Current Financial Liabilities
Derivative Instruments - 0.73 - - 0.73 -
Others - - 77.80 - - -",,,,,,,
,"Financial Instruments by
Category",Carrying Amount,,,Fair Value,,
,,FVTPL,"Derivatives
designated as
hedge",Amortised Cost,Level I,Level II,Level III
,Financial Assets:,,,,,,
,Non-Current Investments – Others,3 8.33,-,-,38.33,-,-
,Non-Current Loans,-,-,0.34,-,-,-
,"Other Non-Current Financial
Assets",-,-,12.57,-,-,-
,Current Investments,3 43.01,-,-,3 43.01,-,-
,Trade Receivables,-,-,342.37,-,-,-
,Cash & Cash Equivalents,-,-,54.81,-,-,-
,Other Bank Balance,-,-,31.51,-,-,-
,Current Loans,-,-,0.79,-,-,-
,Other Current Financial Assets,-,-,17.97,-,-,-
,Financial Liabilities:,,,,,,
,Non-Current Borrowings,-,-,506.09,-,-,-
,Non-Current Lease Liabilities,-,-,12.56,-,-,-
,Current Borrowings,-,-,65.86,-,-,-
,Current Lease Liabilities,-,-,1.36,-,-,-
,Trade Payables,-,-,387.49,-,-,-
,Other Current Financial Liabilities,,,,,,
,Derivative Instruments,-,0.73,-,-,0.73,-
,Others,-,-,77.80,-,-,-
