Particulars,"Period Ended
30.09.2025","Year Ended
31.03.2025","Year Ended
31.03.2024","Year Ended
31.03.2023"
Lease Rental Income,1.47,2.66,2.46,2.42
Total,1.47,2.66,2.46,2.42
