Particulars,"Six Months
Ended 30.09.2025","Year Ended
31.03.2025","Year Ended
31.03.2024","Year Ended
31.03.2023",
"Inventories at the beginning of the period/year
Finished Goods
Finished Goods in Transit
Work in Progress
Work in Progress transferred on common control transaction
Stock-in-Trade
Inventories at the end of the period/year
Finished Goods
Finished Goods in Transit
Work in Progress
Stock-in-Trade
Changes In Inventories Of Finished Goods, Work-In-Progress & Stock-in-Trade","7 .95
1 .95
9 .26
-
3 .09","0.69
-
29.61
-
5.95","1.03
-
24.21
-
3.79","1.58
-
20.20
0.12
0.21",
,2 2.25,36.25,29.03,22.11,
,"3 2.62
-
2 3.39
1 9.43","7.95
1.95
9.26
3.09","0.69
-
29.61
5.95","1.03
-
24.21
3.79",
,7 5.44,22.25,36.25,29.03,
,( 53.19),1 4.00,( 7.22),( 6.92),
