"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,
"40Contingent Liabilities and Commitments:
Contingent Liabilities
Claims against the Group not acknowledged as debts 30.09.2025 31.03.2025 31.03.2024 31.03.2023
a) Sales Tax demand disputed, contested in appeal 0.01 0 .01 0 .38 0 .39
Amount paid there against and shown as Advances Recoverable - - 0 .22 0 .22
b) Service Tax demand disputed, contested in appeal 1.34 0 .90 0 .88 0 .82
Amount paid there against and shown as Advances Recoverable 0.02 0 .02 0 .01 -
c) Goods and Service Tax demand disputed, contested in appeal 9.30 9 .62 3 .94 0 .93
Amount paid there against and shown as Advances Recoverable 0.16 0 .16 0 .16 -
d) Custom Duty demand disputed, contested in appeal 0.37 0 .37 0 .37 0 .37
Amount paid there against and shown as Advances Recoverable 0.02 0 .03 0 .03 0 .03
e) Income Tax demand disputed, contested in appeal 0.03 0 .69 0 .59 0 .59
Amount paid there against and shown as Advances Recoverable - - - -
f) Corporate Guarantee given to bank 16.25 15.65 2 .00 1 .97
g) Claims against the Group not acknowledged as debts 0 .98 1 .09 - -
h) Letter of Credit Outstanding not acknowledged as debts* 12.29 54.80 - -
*TheGrouphasdisclosedtheentireamountofcontingentliabilitiesofsubsidiariesinlinewithIndAS110requirements.Non-controlling
interests' share is not separately disclosed as contingent liabilities are not recognized in the balance sheet.
ItisnotpracticablefortheGrouptoestimatethetimingsofcashoutflows,ifany,inrespectoftheabovependingresolutionoftherespective
proceedingsasitisdeterminableonlyonreceiptofjudgments/decisionspendingwithvariousforums/authorities.TheGroupdoesnotexpect
theoutcomeofthemattersstatedabovetohaveamaterialadverseimpactontheGroup’sfinancialcondition,resultsofoperationsorcash
flows.
TheGrouphasreviewedallitspendinglitigationsandproceedingsandhasadequatelyprovidedforwhereprovisionsarerequiredand
disclosed as contingent liabilities where applicable, in its financial statements.
41Commitments:
a) Capital/Revenue Commitments",,,,,
,"Estimated amounts of contracts remaining to be executed on capital
account and not provided for, net of advances*",589.53,157.10,377.89,1 21.19
"*TheGrouphasdisclosedtheentireamountofcontingentliabilitiesofsubsidiariesinlinewithIndAS110requirements.Non-controlling
interests' share is not separately disclosed as contingent liabilities are not recognized in the balance sheet.
b) Other Commitments
For Derivative contract related commitments, Refer Note 51
42Earnings (Deficit) Per Share (EPS):
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Restated Profit (Loss) Attributable to Equity Shareholders for Basic & 127.79 1 66.12 225.74 1 05.64
Diluted EPS
Weighted Average Number of Equity Shares Outstanding for Basic & 1 0,88,25,400 10,88,25,400 12,23,09,552 16,70,31,750
Diluted EPS
Nominal Value of Equity Share 5 5 5 5
Earnings (Deficit) Per Share Basic & Diluted 11.74* 15.26 18.46 6 .32
*Not Annualised
Also Refer Note 61 to the Restated Consolidated Financial Information",,,,,
