Particulars,"Net balance
as on
01.04.2024","Recognised
in profit or
loss",Recognised in OCI,Utilisation,"Net balance as
on 31.03.2025","Deferred Tax
Asset","Deferred Tax
Liability"
"Deferred Tax Assets
(Liabilities)",,,,,,,
"Property, Plant and
equipment",(229.46),9 .47,-,-,( 219.99),-,( 219.99)
"Gain on Financial
Instruments at fair
value through profit
& loss",(15.60),( 3.39),-,-,( 18.99),-,( 18.99)
Leave Encashment,1 .70,0 .25,-,-,1 .95,1 .95,-
Bonus,-,2 .29,( 0.00),-,2 .29,2 .29,-
Gratuity,-,0 .45,-,-,0 .45,0 .45,-
"MAT Credit
Entitlement",69.42,-,-,( 49.17),2 0.25,2 0.25,-
Others,3 .79,5 .03,0 .54,-,9 .36,9 .36,-
"Net Deferred Tax
Assets (Liabilities)",(170.15),1 4.10,0 .54,( 49.17),( 204.68),3 4.30,( 238.98)
