Particulars,Note,30.09.2025,31.03.2025,31.03.2024,31.03.2023
"Total Other Equity as per audited consolidated
Ind AS financial statements (A)",,"1,158.99","1 ,070.95",9 02.31,7 79.10
"Restatement Adjustments for :-
Income Tax – Excess (Short) Provision and
Interest on Income Tax
CST and GST Expenses
Increase (Decrease) in Opening retained
earnings","(i)
(ii)","-
-
-","-
-
-","( 2.42)
-
( 1.22)","( 0.07)
0.22
( 1.37)"
Total Adjustments (B),,-,-,( 3.64),( 1.22)
"Total Comprehensive Income for the
period/year as per restated consolidated
financial statements (A + B)",,"1,158.99","1 ,070.95",8 98.67,7 77.88
