Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"(Unsecured, Con
Interest Rec",3 .13,4 .25,,
,,,5 .09,4 .70
Less: Provis,(2.62),(2.62),-,-
"Income Rece
Security De","0 .51
1 .40","1 .63
-","5 .09
-","4 .70
-"
,0 .56,0 .61,1 .32,2 .03
Receivable f,0 .65,0 .62,,0 .14
"Fair Value o
Others","-
14.85","0 .22
1 .95","0 .12
7 .01","-
0 .35"
,17.97,5 .03,13.54,7 .21
