Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"(Unsecured, Considered Good)
Loan to Employees",0 .34,0 .40,,
,,,0 .87,0 .33
,0 .34,0 .40,0 .87,0 .33
