Particulars,,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"Security Deposi
Fair Value Deri","ts
vatives
eration Payable","-
-
-","-
-
-","1 .00
-","1 .00
0 .33"
Merger Consid,,,,-,9 .93
,,-,-,1 .00,11.26
