Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"Provision for E
For Gratuity
For Compen","0 .00
1 .07","0 .25
0 .78",,
,,,"0 .69
0 .70","0 .63
0 .67"
,1 .07,1 .03,1 .39,1 .30
