Particulars,"Net balance
as on
01.04.2025","Recognised
in profit or
loss",Recognised in OCI,Utilisation,"Net balance as
on 30.09.2025","Deferred Tax
Asset","Deferred Tax
Liability"
"Deferred Tax Assets
(Liabilities)",,,,,,,
"Property, Plant and
Equipment",(219.99),7 .29,-,-,( 212.70),-,( 212.70)
"Gain on Financial
Instruments at fair
value through profit
& loss",(18.99),( 0.12),-,-,( 19.11),-,( 19.11)
Leave Encashment,1 .95,0 .40,-,-,2 .35,2 .35,-
Bonus,2 .29,( 1.03),-,-,1 .26,1 .26,-
Gratuity,0 .45,( 0.53),0 .36,-,0 .28,0 .28,-
"MAT Credit
Entitlement",20.25,-,-,( 20.25),-,-,-
Others,9 .36,( 1.02),0 .33,-,8 .67,8 .67,-
"Net Deferred Tax
Assets (Liabilities)",(204.68),4 .99,0 .69,( 20.25),( 219.25),1 2.56,( 231.81)
