Particulars,,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"Balance with Ba
In Current Acc
Deposit wit
Cash on Ha","nks
ounts *
h original maturity upto 3 months.
nd","14.84
39.87
0 .10","13.30
8 .00
0 .10",,
,,,,"14.61
9 .00
1 .56","14.20
9 .00
0 .13"
,,54.81,21.40,25.17,23.33
"*Outofabove,bankaccountsofRs.0.03crores(31.03.2025-Rs.0.03crores,31.03.2024-Rs.0.35crores,31.03.2023-Rs.1.43crores)areinthenameoftransferorcompanies.Companyisintheprocess
of change in the bank accounts name as per the Composite Scheme of Amalgamation. 342",,,,,
