"29.4) Ageing for trade payables from the due date of payment for each of the category as at March 31, 2024",,,,,,,
Particulars,,Outstanding for following periods from due date of payment,,,,,Total
,,Not due,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
"Undisputed du
Undisputed du
Disputed dues-
Disputed dues",es- MSME,12.30,3 .09,0.00,-,-,15.39
,es - Others,271.10,18.28,0.11,0.27,0.02,289.78
,MSME,-,-,-,-,-,-
,- Others,-,-,-,-,-,-
29.5) Ageing for trade payables from the due date of payment for each of the ca,,,,,,,
Particulars,,Outstanding for following periods from due date of payment,,,,,Total
,,Not due,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",
"Undisputed du
Undisputed du
Disputed dues-
Disputed dues",es- MSME,5 .99,1 .03,-,-,-,7 .02
,es - Others,215.24,12.14,0.52,-,0.55,228.45
,MSME,-,-,-,-,-,-
,- Others,-,-,-,-,-,-
