Particulars,30.09.2025,31.03.2025,31.03.2024,31.03.2023
1 Year,1.00,0.96,0.79,0.50
2 to 5 Years,6.60,5.57,4.31,3.23
6 to 10 Years,9.14,8.74,7.53,6.62
