Particulars,Note,30.09.2025,31.03.2025,31.03.2024,31.03.2023
"Total Comprehensive Income for the
period/year as per audited consolidated
financial statements (A)",,127.79,1 62.48,2 28.16,1 05.49
"Restatement Adjustments for
Income Tax – Excess (Short) Provision and
Interest on Income Tax
CST and GST Expenses","(i)
(ii)","-
-","3 .69
( 0.05)","( 2.42)
-","( 0.07)
0 .22"
Total Adjustments (B),,-,3.64,(2.42),0.15
"Total Comprehensive Income for the
period/year as per restated consolidated
financial statements (A + B)",,127.79,1 66.12,2 25.74,1 05.64
