Products,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Diesel Generating Sets,979.07,"1,821.48","1,573.46","1,684.95"
Sale of Electricity,124.09,200.52,215.65,203.06
Others,344.28,631.27,420.89,490.25
Total,"1,447.44","2,653.27","2,210.00","2,378.26"
