Description,31.08.2023,31.03.2023
Revenue,0 .07,0 .71
Direct Expenses,-,-
Employee Benefit Expenses,"Rs. 14,839","Rs. 7,510"
Finance Costs,11.60,1 .16
Depreciation & Impairment Expense,"Rs. 5,458",2 3.31
Other Expenses,0 .02,4 .63
Profit Before Tax,(0.04),( 28.39)
Group’s share of loss for the period/year,(0.02),( 14.19)
