Particulars,"Balance as
at
01.04.2023",Addition,"Accretion of
interest",Payments,"Adjustments
for Disposals","Balance as at
31.03.2024"
Land,-,3 .65,0 .16,(0.18),-,3 .63
Buildings,-,1 .31,0 .09,(0.30),-,1 .10
Total,-,4 .96,0 .25,(0.48),-,4 .73
Current,,,,,,0.39
Non - Current,,,,,,4.34
