Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"Advances for S
Less: Provision
Advances to E
Balance with G
Prepaid Expens
Share Issue Exp
Contract Assets","33.13
(1.56)","32.93
(1.56)","25.96
(1.56)","25.24
(1.56)"
,"31.57
0 .28
55.39
11.05
8 .88
31.41","31.37
0 .14
41.40
15.14
0 .20
26.39","24.40
0 .15
55.34
5 .10
-
13.88","23.68
0 .14
51.65
3 .83
-
29.45"
,138.58,114.65,98.87,108.75
