Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
"(Unsecured, Considered Good)
Loan to Employees",0 .79,0 .68,,
,,,0 .82,0 .50
,0 .79,0 .68,0 .82,0 .50
