Ratios,Numerator,Denominator,30.09.2025,31.03.2025,Variance*
Current Ratio (in times),Total Current Assets,Total Current Liabilities,1.69,1.34,26.56%
"Debt-Equity Ratio (in
times)","Debt consists of borrowings and lease
liabilities",Total Equity,0.40,0.29,38.86%
"Debt Service Coverage
Ratio (in times)","Earning for Debt Service = Net Profit after
taxes + Non-Cash operating expenses like
depreciation and other amortisations,
gain on investments + Interest + Other
Non-Cash Adjustments like loss on sale of
property, plant and equipment’s etc.","Debt Service=Interest and lease
payments + Principal Repayments",4.00,3.21,24.85%
"Return on Equity Ratio
(in %)","Profit for the period/year less Preference
Dividend (if any)",Average Total Equity,11.60%,17.53%,-33.85%
Inventory Turnover Ratio,"Revenue from Operations from
Manufactured Goods and Stock-in-Trade",Average Inventory,4.14,8.99,-53.91%
"Trade Receivables
turnover Ratio (in times)",Revenue from Operations,Average Trade Receivables,3.89,7.27,-46.51%
"Trade Payables turnover
Ratio (in times)","Cost of Raw Materials Consumed and
Purchase of Stock-in-Trade",Average Trade Payables,2.93,6.33,-53.78%
"Net Capital Turnover
Ratio (in times)",Revenue from Operations,"Working Capital (i.e. Total current
assets less Total current liabilities)",2.84,9.36,-69.61%
Net Profit Ratio (in %),Profit for the period/year,Revenue from Operations,9.30%,6.26%,48.48%
