,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Gross Carrying Amount,345.24,404.47,330.82,2 82.12
Average Expected loss on Trade Receivables,(2.87),(2.87),(2.97),( 3.46)
Carrying amount of trade receivables (net of impairment),342.37,401.60,327.85,2 78.66
