E,Other Information,,,,,,,,,,,,
,Segment Assets,966.56,852.68,823.16,678.87,"1,373.72","1,182.97",9 28.34,"1 ,052.69","2 ,340.28","2 ,035.65","1 ,751.50","1 ,731.56"
,Unallocated Corporate Assets,,,,,,,,,3 89.45,3 79.18,3 33.41,3 94.25
,Total Assets,,,,,,,,,"2 ,729.73","2 ,414.83","2 ,084.91","2 ,125.81"
,Segment Liabilities,590.25,505.32,520.65,452.00,693.74,610.94,4 67.87,6 07.35,"1 ,283.99","1 ,116.26",9 88.52,"1 ,059.35"
,Unallocated Corporate Liabilities,,,,,,,,,2 19.25,2 04.81,1 84.30,2 71.88
,Total Liabilities,,,,,,,,,"1 ,503.24","1 ,321.07","1 ,172.82","1 ,331.23"
,Total Capital Expenditure,12.25,26.92,15.40,34.27,429.53,306.46,2 37.82,2 7.48,4 41.78,3 33.38,2 53.22,6 1.75
