,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Within India,"1 ,367.94","2,624.04","2,174.71","2,324.38"
Outside India,7 9.50,29.23,35.29,53.88
Total,"1 ,447.44","2,653.27","2,210.00","2,378.26"
