,Particulars,Holding Company,,,,Subsidiary Company,,,,
,,30.09.2025,31.03.2025,31.03.2024,31.03.2023,30.09.2025,31.03.2025,31.03.2024,31.03.2023,
,Discount rate (p.a.),6.70%,6.75%,7.20%,7.45%,6.95%,6.85%,7.20%,NA,
,Salary growth rate (p.a.),5.00%,5.00%,5.00%,5.00%,10.00%,10.00%,10.00%,NA,
ii) Demographic Assumptions,,,,,,,,,,
