,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Provident Fund and Employee’s Pension Scheme,2.39,4 .93,4 .36,3.82
Employees State Insurance,0.01,0 .01,0 .02,0.02
,2.40,4.94,4.38,3 .84
