Name of the Subsidiary,Period
Paramount Windfarms Private Limited,"April 1, 2023 to November 13, 2023"
Vartaman Wind Energy Private Limited,"April 1, 2023 to November 21, 2023"
Powerica Renewable Infra Private Limited,"April 1, 2023 to November 17, 2023"
