,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Debt (Debt + Current Liabilities),571.95,3 00.80,177.52,2 78.87
Less: Cash and Cash Equivalents,397.82,3 76.07,330.58,3 48.05
Adjusted Net Debt,174.13,-,-,-
Owner's Equity,"1,213.40","1,084.55",912.27,7 94.58
Adjusted Net Debt to Equity Ratio,0 .14,-,-,-
