,Particulars,30.09.2025,,31.03.2025,
,,"Change in currency
exchange rate","Effect on profit
before tax","Change in
currency
exchange rate","Effect on profit
before tax"
,US Dollars (USD),+ 5%,0 .10,+ 5%,0 .11
,,-5%,( 0.10),-5%,( 0.11)
,EURO,+ 5%,( 1.18),+ 5%,1 .20
,,-5%,1 .18,-5%,( 1.20)
,GBP,+ 5%,( 0.20),+ 5%,0 .20
,,-5%,0 .20,-5%,( 0.20)
,Particulars,31.03.2024,,31.03.2023,
,,"Change in currency
exchange rate","Effect on profit
before tax","Change in
currency
exchange rate","Effect on profit
before tax"
,US Dollars (USD),+ 5%,0.11,+ 5%,0 .65
,,-5%,( 0.11),-5%,( 0.65)
,EURO,+ 5%,( 1.17),+ 5%,( 1.17)
,,-5%,1.17,-5%,1 .17
,GBP,+ 5%,( 0.19),+ 5%,( 0.19)
,,-5%,0.19,-5%,0 .19
"b) Interest rate risk
Interestrateriskistheriskthatthefairvalueorfuturecashflowsofafinancialinstrumentwillfluctuatebecauseofchangesinmarketinterest
rates.Fair valueinterest raterisk istheriskof changesinfairvalues offixed interestbearing financialassetsorborrowings becauseof
fluctuationsintheinterestratesifsuchassets/borrowingsaremeasuredatfairvaluethroughprofitorloss.Cashflowinterestrateriskisthe
risk that the future cash flows of floating interest bearing borrowings will fluctuate because of fluctuations in the interest rates.
Exposure to interest rate risk
Group’s interest rate risk arises from borrowings. The interest rate profile of the Company’s interest-bearing borrowings is as follows:
Particulars 30.09.2025 31.03.2025 31.03.2024 31.03.2023
Non-Current Borrowings (including Current maturities of long-term
debt)",,,,,
,Particulars,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,"Non-Current Borrowings (including Current maturities of long-term
debt)",,,,
,Fixed Rate Borrowings,1 .30,1 .52,-,8 7.10
,Variable Rate Borrowings,570.65,299.28,167.58,1 90.67
,,571.95,300.80,167.58,2 77.77
"Fair value sensitivity analysis for fixed-rate instruments
TheGroupdoesnotaccountforanyfixed-rateborrowingsatfairvaluethroughprofitorloss.Therefore,achangeininterestratesatthe
reporting date would not affect the profit or loss.
Cash flow sensitivity analysis for variable-rate instruments
A reasonably possible change of 0.25 basis points in interest rates at the reporting date would have impacted profit before tax as below.
Particulars 30.09.2025 31.03.2025 31.03.2024 31.03.2023",,,,,
,Particulars,30.09.2025,31.03.2025,31.03.2024,31.03.2023
,Increase in interest rate by 0.25 %,1 .43,0 .75,0 .42,0 .48
,Decrease in interest rate by 0.25 %,(1.43),(0.75),(0.42),( 0.48)
"Theriskestimatesprovidedassumeachangeof0.25basispointsinterestratefortheinterestratebenchmarkasapplicabletotheborrowings
summarizedabove.Thiscalculationalsoassumesthatthechangeoccursatthebalancesheetdateandhasbeencalculatedbasedonrisk
exposuresoutstandingasatthatdate.Theperiodendbalancesarenotnecessarilyrepresentativeoftheaveragedebtoutstandingduringthe
period.",,,,,
