Particulars,30.09.2025,,31.03.2025,,31.03.2024,,31.03.2023,
,No. of Shares,Rs. in Crores,No. of Shares,Rs. in Crores,No. of Shares,Rs. in Crores,No. of Shares,Rs. in Crores
"Authorised: *
Equity Shares of Rs. 5 each
Preference Shares of Rs. 10 each
Issued:
Equity Shares of Rs. 5 each
Preference Shares of Rs. 10 each
Issued, Subscribed & Paid up
Equity Shares of Rs. 5 each fully paid","20,00,00,000
1,00,00,000","1 00.00
1 0.00
5 4.41","7 ,00,20,000
1 ,00,00,000","35.01
10.00
13.60
-","7,00,20,000
1,00,00,000","35.01
10.00
13.60
9 .93","7,00,20,000
1,00,00,000","35.01
10.00"
,"10,88,25,400",,"2 ,72,06,350",,"2,72,06,350",,"3,34,06,350",16.70
,-,-,-,,"99,27,834",,"-
3,34,06,350","-
16.70"
Equity Shar,"10,88,25,400",54.41,"2 ,72,06,350",13.60,"2,72,06,350",13.60,,
