"Financial Instruments by
Category",Carrying Amount,,,Fair Value,,
,FVTPL,"Derivatives
designated as
hedge",Amortised Cost,Level I,Level II,Level III
Financial Assets:,,,,,,
Non-Current Investments – Others,1 1.39,-,-,11.39,-,-
Non-Current Trade Receivables,-,-,2.34,-,-,-
Non-Current Loans,-,-,0.40,-,-,-
"Other Non-Current Financial
Assets",-,-,12.54,-,-,-
Current Investments,3 54.67,-,-,3 54.67,-,-
Trade Receivables,-,-,399.26,-,-,-
Cash & Cash Equivalents,-,-,21.40,-,-,-
Other Bank Balance,-,-,21.68,-,,-
Current Loans,-,-,0.68,-,-,-
Other Current Financial Assets,,,,,,
Derivative Instruments,-,0.22,-,-,0.22,-
Others,-,-,4.81,-,-,-
Financial Liabilities:,,,,,,
Non-Current Borrowings,-,-,235.77,-,-,-
Non-Current Lease Liabilities,-,-,9.73,-,-,-
Current Borrowings,-,-,65.03,-,-,-
Current Lease Liabilities,-,-,1.35,-,-,-
Trade Payables,-,-,263.58,-,-,-
Other Current Financial Liabilities,-,-,296.40,-,-,-
