"Powerica Limited
CIN: U31100MH198
Notes to the Restate
(All amounts in Ind",,"4PLC032825
d Consolidated Financial Infomation
ian Rupees crores, except share data and where otherwise stated)",,,,,,,,
"51Hedge Accounting:
TheCompany’sriskmanagementpolicyistohedgeitsestimatedforeigncurrencyexposureinrespectofhighlyprobableforecastsalesandpurchasesoverthefollowing12-48
months. The Company uses forward exchange contracts to hedge its currency risk. Such contracts are generally designated as cash flow hedges.
Theforwardexchangecontractsaredenominatedinthesamecurrencyasthehighlyprobableforecastsalesandpurchases,thereforethehedgeratiois1:1.Thesecontractshavea
maturity of 12-48 months from the reporting date. The Company’s policy is for the critical terms of the forward exchange contracts to align with the hedged item.
TheCompanydeterminestheexistenceofeconomicrelationshipsbetweenthehedginginstrumentandhedgeditembasedonthecurrency,amountandtimingoftheirrespective
cash flows. The Company assess whether the derivative designated in each hedging relationships is expected to be and has been effective in offsetting changes in the cash flow of
In these hedge relationships, changes in timing of the hedge transactions are the main source of hedge ineffectiveness.
a) Disclosure of effects of hedge accounting on financial position",,,,,,,,,,
,"Type of hedge
& risks","Nominal Value
(in USD mn)","Carrying amount of hedging
instrument",,"Line item in the
statement of financial
position where the
hedging instrument
is included",Maturity Date,"Hedge
Ratio","Weighted
Average Strike
Price/ Rate","Changes in fair
value of the
hedging
Instrument","Changes in the value
of hedged item used as
the basis for
recognizing hedge
effectiveness"
,,,Assets,Liabilities,,,,,,
,As at 30.09.2025,,,,,,,,,
,"Cash Flow
Hedge",0.50 Bought,Nil,0.73,"Liabilities – Other
Current Financial
Liabilities","October, 2025 -
December,
2025",1:1,87.65,(0.73),(0.73)
,As at 31.03.2025,,,,,,,,,
,"Cash Flow
Hedge",0.50 Bought,0.22,Nil,"Assets – Other
Current Financial
Assets","April 2025 –
July, 2025",1:1,86.32,0.22,0.22
,As at 31.03.2024,,,,,,,,,
,"Cash Flow
Hedge",0.50 Bought,0.47,Nil,"Assets – Other
Current and Non-
Current Financial
Assets","April 2024 –
July, 2025",1:1,85.58,0.47,0.47
,As at 31.03.2023,,,,,,,,,
,"Cash Flow
Hedge","0.91 Bought,
0.09 Sold",Nil,0.33,"Assets – Other
Current and Non-
Current Financial
Assets","April 2023 –
July, 2025",1:1,84.06,(0.33),(0.33)
