Particulars,As at 30.09.2025,As at 31.03.2025,As at 31.03.2024,As at 31.03.2023
Provision for E,"5 .51
0 .14","4 .78
0 .08",,
"For Compen
For Gratuity",,,"4 .18
0 .02","3 .94
-"
,5 .65,4 .86,4 .20,3 .94
