"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
As at 31 March,2025",,,,,
Particulars,"less than 1
year",1-2 years,2-5 Years,"More than
5 Years",Total
"Financial Liabilities-Non Current
Borrowings
Lease Liabilities (Refer Note 29)","-
-","197.29
19.69","707.34
11.19","253.99
-","1,158.62
30.87"
"Financial Liabilities-Current
Borrowings
Lease Liabilities (Refer Note 29)
Trade Payable
Other current Financial Liabilities","2,441.87
33.25
330.77
127.96","-
-
-
-","-
-
-
-","-
-
-
-","2,441.87
33.25
330.77
127.96"
Total,"2,933.85",216.98,718.52,253.99,"4,123.34"
"As at 31 March,2024",,,,,
Particulars,"less than 1
year",1-2 years,2-5 Years,"More than
5 Years",Total
"Financial Liabilities-Non Current
Borrowings
Lease Liabilities (Refer Note 29)","-
-","140.04
30.28","203.43
17.17","-
-","343.47
47.45"
"Financial Liabilities-Current
Borrowings
Lease Liabilities (Refer Note 29)
Trade Payable
Other current Financial Liabilities","1,724.61
25.98
184.90
49.93","-
-
-
-","-
-
-
-","-
-
-
-","1,724.61
25.98
184.90
49.93"
Total,"1,985.42",170.32,220.60,-,"2,376.34"
"As at 31 March,2023",,,,,
Particulars,"less than 1
year",1-2 years,2-5 Years,"More than
5 Years",Total
"Financial Liabilities-Non Current
Borrowings
Lease Liabilities (Refer Note 29)","-
-","52.47
25.98","25.66
47.45","-
-","78.13
73.43"
"Financial Liabilities-Current
Borrowings
Lease Liabilities (Refer Note 29)
Trade Payable
Other current Financial Liabilities","1,125.41
15.38
198.97
27.73","-
-
-
-","-
-
-
-","-
-
-
-","1,125.41
15.38
198.97
27.73"
Total,"1,367.49",78.45,73.11,-,"1,519.05"
"C)Market Risk
Marketriskistheriskthatthefairvalueoffuturecashflowsofafinancialinstrumentwillfluctuatebecauseofchangesinmarketprices.Marketriskcomprisesthree
typesofrisk:Foreigncurrencyrisk,interestrateriskandpricerisk.Thecompany’sexposuretomarketriskisprimarilyonaccountofforeigncurrencyriskandprice
risk.",,,,,
