"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 35:Capital Management
The Company’s objectives when managing capital are to:
a.Safeguard their abiliy to continue as a going concern, so that they can continue to provide returns to shareholders and benefits to other stakeholders, and
b.Maintain an optimal capital structure to reduce the cost of capital
To maintain or adjust the capital structure, the Company may adjust the dividend payment to shareholders, return capital to shareholders or issue new shares.
The Company monitors its capital by using gearing ratio, which is net debt divided by total equity. Net debt includes interest bearing loans.
Total equity comprises of Equity share capital, General reserve, Retained earnings, Securities Premium, Other Comprehensive Income and Stock Options
Outstanding Reserve.
Capital Composition is as follows:",,,,
Particulars,"As at June 30,
2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
Debt (Current and Non Current),"3,793.94","3,600.49","2,068.08","1,203.54"
Equity,"3,214.74","2,985.46","2,309.46","1,936.55"
Gearing Ratio,1.18,1.21,0.90,0.62
Note 36:Earnings per share,,,,
Particulars,"For the year
ended June 30,
2025","For the year ended
March 31, 2025","For the year
ended March 31,
2024","For the year
ended March 31,
2023"
"Net profit after tax for the year
Profit attributable to equity shareholder
Weighted Average Number of equity shares outstanding at the end of
year/period for Basic Earnings Per Share (Refer note below)
Effects of dilution on account of stock options granted under ESOPs
Weighted Average Number of equity shares outstanding at the end of
year/period for Diluted Earning Per Share (Refer note below)
Basic Earnings Per Share (Rs)
Diluted Earnings Per Share (Rs)
Face value per share (Refer note below)","226.81
226.81
5 ,68,18,200
20,458
5 ,68,38,658
3.99
3.99
5","679.88
679.88
5,68,18,200
-
5,68,18,200
11.97
11.97
5","373.50
373.50
5 ,68,18,200
-
5 ,68,18,200
6.57
6.57
5","266.13
266.13
5,68,18,200
-
5,68,18,200
4.68
4.68
5"
"Pursuant to a resolution passed in extraordinarygeneralmeetingoftheCompanydated January30, 2025, shareholdershave approved theincrease in the
AuthorizedsharecapitaloftheCompanyfromRs.70MilliontoRs.400Million.Further,theCompanyinitsextraordinarygeneralmeetingdatedFebruary
11,2025,shareholdershaveapprovedsplitofeachequitysharehavingfacevalueofRs.100eachintoequitysharesoffacevalueofRs.5each.Further,the
CompanyinitsextraordinarygeneralmeetingdatedFebruary11,2025,hasapprovedtheissuanceofbonusshares intheratioof4:1totheexistingequity
shareholders to the existing equity shareholders. The record date for the said purpose was February 10, 2025
Reconciliation of Weighted Average Number of shares
Details Number of Shares Amount
5,68,182 Equity shares of Rs.100- each fully paid up 5,68,182 56.82
Subdivision of shares of Rs. 5/- each fully paid up 1,13,63,640 56.82
Add: Bonus issued in the ratio of 4:1 4,54,54,560 227.27
Equity Share Capital of Rs. 5 each fully paid up 5,68,18,200 284.09",,,,
