Particulars,"For the year ended
March 31, 2024","For the year ended
March 31, 2023"
"Profit as per IGAAP
Impact of Ind AS :
Interest on Lease Liability
Amortization of ROU Assets
Interest Income on Security Deposits
Provision IGAAP A/C Reversal / Creation (Doubtful Debts) For
Recording Expected Credit Loss As per ECL Model
Employee Benefit Expense
Rent Expense Reversal For Recording Lease Liability
Depreciation on PPE Spares Capitalised as Per Ind AS 16
Profit as per Ind AS","496.83
(7.86)
(21.99)
1.31
9.77
(0.79)
28.93
(0.02)
506.18","375.54
(9.57)
(20.46)
1.18
(18.19)
(0.25)
27.18
(0.74)
354.69"
As per Financial Statements,506.18,354.69
Difference,-,-
