Particulars,"For the Period ended
June 30, 2025","For the Year ended
March 31, 2025","For the Year ended
March 31, 2024","For the Year ended
March 31, 2023"
Opening balance,103.67,156.21,4 2.28,27.15
Changes from financing cash flows,114.23,"1,228.91",6 74.32,(406.07)
Other changes (Changes from Operating and Investing cash flows),(163.91),"(1,281.45)",(560.39),421.20
Closing balance,53.99,103.67,1 56.21,42.28
