"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 12 Borrowings
As at June 30, 2025 As at March 31, 2025 As at March 31, 2024 As at March 31, 2023",,,,,,,,,
,,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
Sr. No,Particulars,Non Current,Current,Non Current,Current,Non Current,Current,Non Current,Current
"a
b
c","Secured
Term Loans From the Banks (Including
Vehicle Loans)
Loan Repayable on Demand ( Includes Export
Packing Credit , Cash Credit , Working
Capital Demand Loan,Sales & Bill
Discounting )
Unsecured
Loan Repayable on Demand","1,262.58
-
-","185.67
2,196.63
149.06","1,158.62
-","141.46
2,151.38
149.03","343.47
-
-","52.47
1,449.85
222.29","7 8.13
-
-","2 3.14
1,102.27
-"
,Total Borrowings,"1,262.58","2,531.36","1,158.62","2,441.87",343.47,"1,724.61",7 8.13,"1,125.41"
"Note 12.1: Secured Term Loans From the Banks (Including Vehicle Loans)
Balance outstanding at the end of the year/period
Terms of June 30, 2025 March 31, 2025 March 31, 2024 March 31, 2023
Name of Lender Type Rate of Interest Period
Repayment
60 structured (I-MCLR-1Y) + 72 Months
monthly Spread (subject to (including 12 Months
ICICI Bank-Term Loan Secured
installments change at the end of Mortarium)
every 1 year) 4 2.06 4 5.06 6 3.06 8 1.06
60 structured (I-MCLR-1Y) + 72 Months
ICICI Bank-Term Loan Secured monthly Spread (including 12 Months
installments Mortarium) 1 13.05 1 20.59 1 37.24 -
32 Quarterly 91 days T-bill rate 10 years from the
Installments plus spread date of first
(including 24 disbursement
IndusInd Bank-Term Loan Secured
Months Mortarium
from first
Disbursement) 7 21.82 6 25.92 1 80.57 -
32 Quarterly 91 days T-bill rate 10 years from the
Installments plus spread date of first
(including 24 disbursement
Exim Bank - Term Loan Secured
Months Mortarium
from first
Disbursement) 5 55.74 4 91.64 - -",,,,,,,,,
,,,,,,Balance outstanding at the end of the year/period,,,
,Name of Lender,Type,"Terms of
Repayment",Rate of Interest,Period,"June 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
,ICICI Bank-Term Loan,Secured,"60 structured
monthly
installments","(I-MCLR-1Y) +
Spread (subject to
change at the end of
every 1 year)","72 Months
(including 12 Months
Mortarium)",4 2.06,4 5.06,6 3.06,8 1.06
,ICICI Bank-Term Loan,Secured,"60 structured
monthly
installments","(I-MCLR-1Y) +
Spread","72 Months
(including 12 Months
Mortarium)",1 13.05,1 20.59,1 37.24,-
,IndusInd Bank-Term Loan,Secured,"32 Quarterly
Installments
(including 24
Months Mortarium
from first
Disbursement)","91 days T-bill rate
plus spread","10 years from the
date of first
disbursement",7 21.82,6 25.92,1 80.57,-
,Exim Bank - Term Loan,Secured,"32 Quarterly
Installments
(including 24
Months Mortarium
from first
Disbursement)","91 days T-bill rate
plus spread","10 years from the
date of first
disbursement",5 55.74,4 91.64,-,-
