"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note 30:Employee Benefit Expense
1.Defined contribution plan - Provident fund
The Company makes Provident Fund contributions to defined contribution plans for qualifying employees. Under the Schemes, the Company is
required to contribute a specified percentage of the payroll costs to fund the benefits. The Company has recognised the following amounts in its
Statement of Profit and Loss.",,,,
Particulars,"For the period
ended 30 June 2025","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
Contributions to employer provident fund,1.80,6.30,5.69,5.08
Contribution to employer state insurance,0.00,0.02,0.03,0.07
Total,1.80,6.32,5.72,5.15
"Rs. 0.00 does not reflect amount due to rounding off norms adopted by the company
2.Defined benefit plan
i)The defined benefit plan comprises gratuity and compensated absences.
ii)Actuarial gains and losses in respect of defined benefit plans are recognized in the Other Comprehensive Income (OCI).
TheCompanyprovidesforgratuityforemployeesinIndiaasperthePaymentof GratuityAct, 1972.GratuityisabenefittoanemployeeinIndia
based on 15 days last drawn salary for each completed year of service with a vesting period of five years.
These defined benefit plans expose the Company to actuarial risks, such as longevity risk and interest rate risk.
Provisionofadefinedbenefitschemeposescertainrisks,someofwhicharedetailedhereunder,ascompanytakeonuncertainlongtermobligationsto
make future benefit payments.
iii) Liability risks
a) Asset-liability mismatch risk
Risk which arises if there is a mismatch in the duration of the assets relative to the liabilities. By matching duration with the defined benefit
liabilities,the Company is successfully able to neutralize valuation swings caused by interest rate movements.
b) Discount rate risk
Variationsinthediscountrateusedtocomputethepresentvalueoftheliabilitiesmayseemsmall,butinpracticecanhaveasignificantimpactonthe
defined benefit liabilities.
c) Future salary escalation and inflation risk
Sincepriceinflationandsalarygrowtharelinkedeconomically,theyarecombinedfordisclosurepurposes.Risingsalarieswilloftenresultinhigher
future defined benefit payments resulting in a higher present value of liabilities especially unexpected salary increases provided at management's
discretion may lead to uncertainties in estimating this increasing risk.
iv) Asset risks
Allplan assets aremaintained in a trust fund managed bya public sector insurer viz.LIC of India. LIC has a sovereign guaranteeand havebeen
providingconsistentandcompetitivereturnsovertheyears.TheCompanyhasoptedforatraditionalfundwhereinallassetsareinvestedprimarilyin
riskaversemarkets.TheCompanyhasnocontroloverthemanagementoffundsbutthisoptionprovidesahighlevelofsafetyforthetotalcorpus.
Thesameaccountismaintainedforboththeinvestmentandclaimsettlementandhence100%liquidityisensuredandalsointerestrateandinflation
risks are taken care of.
The following table summarises the components of net benefit expense recognised in the statement of profit and loss and the funded status and
amounts recognised in the balance sheet for the gratuity plans.",,,,
