"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note 27(a): Payment to auditors",,,,
Particulars,"Period ended
June 30, 2025","Period ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Statutory audit
Other Assurance Services *
Tax audit
Internal Audit
Certifications
Taxation Matters
Out of pocket expenses reimbursed","0.40
2.50
0.05
-
-
-
-","1 .20
2 .30
0 .20
-
-
-
0 .08","0.83
-
0.10
-
0.16
0.02
0.10","0.38
-
0.10
-
0.16
0.02
0.10"
Total,2.95,3 .78,1.21,0.76
"*The Auditor's remuneration includes other assurance services amounting to INR 4.80 Millions and out of pocket expenses amounting to INR
0.08 Millions related to IPO related engagement.
Note 28:Contingent liabilities and commitments (to the extent not provided for)",,,,
Particulars,"As at
June 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Contingent Liabilities
Income Tax Demands under Income Tax appeal - (Refer
note 1 below)
CESTAT under Excise Duty - refer note below (Refer note
2 below)
Open Bank Guarantees outstanding
Commitments
Estimated amount of contract remaining to be executed on
capital account and not provided for (net of advances).","-
-
34.92
71.36","-
-
34.92
111.21","0.03
-
31.87
947.20","0.03
52.65
38.12
121.33"
Total,106.28,146.13,979.10,212.13
"Note:
1.A.Y. 2018-19 - The Income Tax Department has raised a demand of Rs.0.03 Million (out of which Rs.6,030 has been deposited under protest)
towards certain disallowances. The Company has filed an appeal against said order with CIT(A).
Subsequent to the Balance Sheet Date, the appeal was concluded in the favour of the company.
2.TheCompanywasservedwithShowcausenoticein2009denyingcenvatcreditofRs.52.65Millionsontheindigenouspurchaseofgoods
procuredagainstinvalidatedadvanceauthorization/license.TheCompanyhasreceivedafavourableorderpassedbytheCommissionerin2013
inthismatter.SubsequentappealwaspreferredbythedepartmentandtheCompanyhadreceivedahearingnoticefromtheCustomsExcise&
ServiceTaxAppellateTribunal forappealfiledagainstthesaid orderof2013. Consideringthatthematterhas been decided in favour ofthe
Company by the Commissioner in 2013, no provision was made for the same as per management.",,,,
