Particulars,"For the period ended
30 June 2025","For the year ended
31 March 2025","For year ended
March 31, 2024","For year ended
March 31, 2023"
"Purchase of goods
Kushal Electricals - Partnership Firm
Waterloo Motors - Partnership Firm
Services received
KSH Distiparks Pvt Ltd
Parijat Foundation
Deposit Paid
KSH Infra Park 4 Private Limited
Remuneration paid
Remuneration paid to Key Managerial Personnel#
Remuneration paid to Relatives of Key Managerial Personnel
Share Based Payment Expense
Sitting Fees paid to Independent Directors","0.39
-
0.37
-
-
40.10
-
0.36
1.92","0.27
0.27
3.23
4.26
-
138.44
0.89
-
-","0.28
0.10
2.91
1.50
-
100.35
0.98
-
-","0.19
0.13
3.66
2.00
100.00
123.32
0.92
-
-"
"#Information relating to remuneration does not include provision for gratuity, which is provided on an overall actuarial valuation, as separate amounts are not available for respective
KMPs. Remuneration paid at actual basis is considered for above computation.",,,,
