"Pertaining to period/
year ended","Recognised in the
period ended",Recognised in the year ended,,
,"June 30, 2025","March 31,
2025","March 31,
2024","March 31,
2023"
"June 30, 2025",-,-,-,-
"March 31, 2025",-,-,-,-
"March 31, 2024",-,-,-,-
"March 31, 2023",-,-,-,-
Prior to 2022-23,-,-,0.24,-
Total,-,-,0.24,-
