"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
e) Deferred tax liabilities movement:",,,,,,,,,
"Sr.
No",Particulars,,,,,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
"a
b
c
d","Opening balance as per last balance sheet
Deferred tax charged/(credited) to profit and loss account during the year/period
Deferred tax charged/(credited) to other comprehensive income during the year/period
Closing balance as per last balance sheet (a-b+c)",,,,,"( 62.93)
( 17.17)
0 .16","( 75.61)
1 1.37
1 .31","( 76.91)
( 1.10)
0.20","(73.01)
3 .85
(0.06)"
,,,,,,( 79.94),( 62.93),(75.61),(76.91)
"Note : 16 Trade Payables
As at June 30, 2025 As at March 31, 2025 As at March 31, 2024 As at March 31, 2023",,,,,,,,,
,,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
"Sr.
No",Particulars,Non Current,Current,Non Current,Current,Non Current,Current,Non Current,Current
"a
b
c
d","Dues to micro and small enterprises
(Refer Note 37(b) and 37(c ))
Amount due to micro and small
enterprises - Related Parties
Dues to creditors other than Micro
and small enterprises (Refer Note
37(b))
Dues to creditors other than Micro
and small enterprises - Related
Parties","-
-
-
-","36.56
-
302.42
0.53","-
-
-
-","35.25
0.09
229.72
0.20","-
-
-
-","30.41
-
94.86
0.11","-
-
-
-","3 1.25
-
115.26
0.56"
,Sub-Total (A),-,339.51,-,265.26,-,125.38,-,1 47.07
e,Accrued Expenses (Refer Note 16A),"-
-","60.79
-","-
-","65.51
-",-,59.26,-,5 1.90
,Sub-Total (B),-,60.79,-,65.51,-,59.26,-,5 1.90
,Total (A+B),-,400.30,-,330.77,-,184.64,-,1 98.97
Note : 16A Movement in Accrued Expenses,,,,,,,,,
Particulars,,,,,,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
"Balance as at beginning of the year/period
Add : Provision made during the year/period
Less: Utilized during the year/period",,,,,,"65.51
23.93
28.65","59.26
61.89
55.64","51.90
58.46
51.10","4 3.44
5 1.90
4 3.44"
Balance as at end of the year/period,,,,,,60.79,65.51,59.26,5 1.90
