"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note 20 Revenue from operations",,,,,
"Sr.
No",Particulars,"For the period ended
June 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31,2024","For the year ended
March 31,2023"
"a
b","Operating Revenue
Sale of Products
- Domestic
- Export
Rendering of Services
- Processing Charges
Other Operating Revenue
Sale of Scraps
Income from RoDTEP","3 ,637.09
1,615.13
4 2.81","11,879.83
5,903.64
269.98","7,559.52
4,863.35
405.97","5,245.79
4,110.36
320.09"
,,"5,295.03
2 89.42
2 .67","18,053.45
1,203.90
25.58","12,828.84
999.31
-","9,676.24
818.36
-"
,Total,"5 ,587.12","19,282.93","13,828.15","10,494.60"
"Refer Note 39 for information on Revenue from Contracts with Customers
Note 21 Other income",,,,,
"Sr.
No",Particulars,"For the period ended
June 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31,2024","For the year ended
March 31,2023"
"a
b
c
d
e
f
g","Interest on term deposits
Exchange variation on foreign currency transactions
Other Interest Income
Interest on Security Deposit (over Financial Assets
measured at Amortised Cost)
Profit on sale of property, plant and equipment
Provisions/liabilities no longer required now written
back
Interest on Income tax refund","0.12
36.16
1.99
0.42
-
0.23
-","0.65
68.53
13.27
1.49
-
15.03
-","2.31
47.44
10.73
1.31
12.46
0.51
2.04","1.85
49.27
12.21
1.18
0.54
6.30
-"
,Total,38.92,98.97,76.80,71.35
Note 22 Cost of Raw materials and components consumed,,,,,
"Sr.
No",Particulars,"For the period ended
June 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31,2024","For the year ended
March 31,2023"
"a
b
c","Raw material and scrap inventory at the beginning of
year/period
Add: Purchases during the year/period
Less:Raw material and scrap inventory at the end of
year/period","8 98.11
5 ,118.26","391.06
17,925.23","352.41
12,552.75","352.35
9,449.62"
,,"6,016.37
9 22.01","18,316.29
898.11","12,905.16
391.06","9,801.97
352.41"
,Total,"5 ,094.36","17,418.18","12,514.10","9,449.56"
Note 23 Changes in inventories of finished goods and work-in-progress,,,,,
"Sr.
No",Particulars,"For the period ended
June 30, 2025","For the year ended
March 31, 2025","For the year ended
March 31,2024","For the year ended
March 31,2023"
"a
b","Opening balances
Finished goods manufactured
Work-in-Progress
Closing balances
Finished goods manufactured
Work-in-Progress","8 89.46
3 22.64","767.99
169.88","553.41
188.59","517.19
145.36"
,,"1 ,212.10",937.87,742.00,662.55
,,"9 68.64
4 01.07","889.46
322.64","767.99
169.88","553.41
188.59"
,,"1 ,369.71","1,212.10",937.87,742.00
,Total,(157.61),( 274.23),( 195.87),( 79.45)
