Particulars,"As at June
30,2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
Owned Assets,"1,064.18","1,079.97","1,147.79","1,001.31"
Leased Assets,243.38,250.70,249.52,72.90
Total Assets,"1,307.55","1,330.67","1,397.31","1,074.21"
