"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Cash flow from leases",,,,
Particulars,"For the period
ended 30 June
2025","For the year
ended 31 March
2025","For the year
ended 31 March
2024","For the year
ended 31 March
2023"
"Cash payments for the principal and interest portion of lease liability within
financing activities
Lease payments are not included in the measurement of lease liability from
operating activies.","9.15
0.36","32.90
0.95","28.93
1.76","2 7.18
1 .05"
Total,9.51,33.85,30.69,2 8.23
"The lease liabilities are secured by the related underlying assets. The undiscounted maturity analysis of lease liabilities is as follows: (Includes Only Those Leases
which are Covered under Ind AS 116)",,,,
Particulars,"As at June 30,
2025","As at 31 March
2025","As at 31 March
2024","As at 31 March
2023"
"Amount Due within One Year
Amount due within One Year to Five Years
Amount due after Five Years","37.86
23.30
-","37.40
32.90
-","31.98
51.25
-","2 8.48
7 7.08
-"
Total,61.16,70.30,83.23,1 05.56
"Lease Rentals :
Following are the Amounts due towards Lease Rents (including those not included under Ind AS 116)",,,,
Particulars,"As at June 30,
2025","As at 31 March
2025","As at 31 March
2024","As at 31 March
2023"
"Amount Due Within One Year
Amount due within One Year to Two Years
Amount due within Two Year to Three Years
Amount due within Three Year to Four Years
Amount due within Four Year to Five Years
Amount due after Five Years","38.11
13.16
4.00
4.06
2.08
-","37.61
21.71
4.06
4.01
3.12
-","32.44
33.56
17.87
-
-
-","3 0.13
3 0.26
3 1.35
1 5.87
-
-"
Total,61.41,70.51,83.87,1 07.61
