"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 13 Lease Liabilities
As at June 30, 2025 As at March 31, 2025 As at March 31, 2024 As at March 31, 2023",,,,,,,,,
,,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
"Sr.
No",Particulars,Non Current,Current,Non Current,Current,Non Current,Current,Non Current,Current
a,Lease Liabilities,21.80,34.49,30.87,33.25,47.45,25.98,73.43,1 5.38
,Total,21.80,34.49,30.87,33.25,47.45,25.98,73.43,1 5.38
"Note 29 gives details of Leases
Note : 14 Provisions
As at June 30, 2025 As at March 31, 2025 As at March 31, 2024 As at March 31, 2023",,,,,,,,,
,,"As at June 30, 2025",,"As at March 31, 2025",,"As at March 31, 2024",,"As at March 31, 2023",
"Sr.
No",Particulars,Non Current,Current,Non Current,Current,Non Current,Current,Non Current,Current
a,"Provision for employee benefits
Gratuity
Compensated absences","1.64
7.82","8.33
2.26","1.54
7.79","7.39
2.32","1.22
5.06","3.21
1.54","0.97
4.21","3 .55
1 .62"
,Total,9.46,10.59,9.33,9.71,6.28,4.75,5.18,5 .17
"Refer Note 30 for details of Defined Benefit plans and Defined Contribution plans
Note : 15 Deferred tax liabilities (Net) (Non Current)",,,,,,,,,
"Sr.
No",Particulars,,,,,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
a,Deferred tax liabilities (Net),,,,,79.94,62.93,75.61,7 6.91
,Total,,,,,79.94,62.93,75.61,7 6.91
