"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
-
Note : 17 Other financial liabilities (Current)",,,,,
"Sr.
No",Particulars,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
"a
b
c
d","Creditors for capital goods
Employee related dues
Interest accrued but not due
Deposits from customers","23.39
57.21
3.31
0.03","72.65
52.13
3.15
0.03","17.64
29.93
2.59
0.03","2 .10
2 2.99
2 .61
0 .03"
,Total,83.94,127.96,50.19,2 7.73
Note : 18 Other Current liabilities,,,,,
"Sr.
No",Particulars,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
"a
b","Statutory dues payable
Contract Liabilities (Refer Note 39)","10.76
180.60","11.50
195.23","6.66
25.60","5 .18
3 3.03"
,Total,191.36,206.73,32.26,3 8.21
Note : 19 Current tax liabilities (net),,,,,
"Sr.
No",Particulars,"As at June 30,
2025","As at March
31, 2025","As at March
31, 2024","As at March
31, 2023"
a,Provision for Income Tax (Net of advance tax and tax deducted at source),92.26,51.63,22.38,1 0.69
,Total,92.26,51.63,22.38,1 0.69
