"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 2 Property, Plant & Equipment, Intangible Assets & Right of Use Assets
As at March 31, 2023
(A) Owned Assets",,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2022",Additions,Deletions,"As at March
31, 2023","As at April
01, 2022",For the year,Deletions,"As at March
31, 2023","As at March
31, 2023"
"Property,Plant and Equipment
Free Hold Land
Buildings
Plant and Equipment
Electrical Installation
Computers
Furnitures & Fixtures
Vehicles
Office Equipment
Dies & Moulds","212.13
191.27
949.89
19.50
9.58
13.19
31.19
5.27
10.43","-
50.34
86.39
0.92
1.98
0.06
20.55
0.20
4.63","-
-
1 .07
-
-
-
0 .48
-
-","212.13
241.61
1,035.21
20.42
11.56
13.25
51.27
5.47
15.06","-
74.06
428.79
12.27
7.43
6.44
23.67
3.67
8.36","-
6.34
45.23
1.47
1.53
0.79
1.62
0.47
1.27","-
-
1.02
-
-
-
0.46
-
-","-
8 0.40
4 73.00
1 3.74
8 .97
7 .23
2 4.83
4 .14
9 .64","212.13
161.21
562.21
6.68
2.59
6.02
26.44
1.33
5.42"
Sub Total,"1,442.45",165.07,1.55,"1,605.98",564.68,58.72,1.48,6 21.95,984.05
"Intangible Assets
Computer Software",6.60,19.89,-,26.49,6.50,2.73,-,9 .23,17.26
Sub Total,6.60,19.89,-,26.49,6.50,2.73,-,9 .23,17.26
Total,"1,449.05",184.96,1.55,"1,632.47",571.19,61.45,1.48,6 31.18,"1,001.31"
(B) Leased Assets,,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2022",Additions,Deletions,"As at March
31, 2023","As at April
01, 2022",For the year,Deletions,"As at March
31, 2023","As at March
31, 2023"
"Property,Plant and Equipment
Leasehold Land
Leasehold Improvements","0.13
-","-
-","-
-","0.13
-","0.06
-","-
-","-
-","0 .06
-","0.07
-"
Sub Total,0.13,-,-,0.13,0.06,-,-,0 .06,0.07
"Right of Use Assets
Building",93.29,-,-,93.29,-,20.46,-,2 0.46,72.83
Sub Total,93.29,-,-,93.29,-,20.46,-,2 0.46,72.83
Total,93.42,-,-,93.42,0.06,20.46,-,2 0.52,72.90
Note 29 gives details of Right of use assets,,,,,,,,,
