,,"election at the
time of initial
recognition to
account for the
equity investment
(on an instrument
by instrument
basis) at fair value
through other
comprehensive
income. This
election is not
permitted if the
equity investment
is held for trading.
The classification
is made on initial
recognition and is
irrevocable.","acquisition of the
financial asset","instruments, no amount is
reclassified to restated
consolidated statement of
profit and loss
Impairment losses (and
reversal of impairment
losses) on equity
investments measured at
FVOCI are not reported
separately from other
changes in fair value.
Dividend income from such
instruments are however
recorded in restated
consolidated statement of
profit and loss unless the
dividend clearly represents
a recovery of part of the
cost of the investment."
,FVTPL,"When no such
election is made,
the equity
instruments are
measured at
FVTPL","At fair value.
Transaction costs
of financial assets
expensed to
restated
consolidated
statement of
profit and loss","Changes in fair value of
such assets are recorded in
restated consolidated
statement of profit and loss."
