,,,Outstanding for following periods from due date of payment,
"Particulars Current but not due Total
Less than 6 Months 6 months – 1 year 1-2 years 2-3 years More than 3 years",,,,
Trade receivables,,,,
"(i) Undisputed Trade receivables – considered good 3,230 550 10 28 6 1
(ii) Undisputed Trade receivables – credit impaired - - - - - 12",,,,
