Time based,,
"As at March 31, 2023",,
No. of options,WAEP,No. of options
"1 ,055,156
5 3,016
(27,940)
(19,630)
-
1 ,060,602","1 ,054
1 ,580
1 ,702
1 ,582
-
1 ,055","2 ,135,688
1 06,184
(56,060)
(56,040)
-
2 ,129,772"
"335,679","1,046",-
