,Revenue from operations,,,Fiscal,,,,,,,,,,,,,,,,
,contribution by industry in,,,2025,,,,,,2024,,,,,,2023,,,,
,our Fractal.ai segment,,,Amount,,,%,,,Amount,,,%,,,Amount,,,%,
