Carrying amount,,
,<12months,1 - 2 years
"829
2,184
1,484
2,746
302
731
1,963
1,085
2,622
75
620
3,282
1,628
2,662
81
512
2,764
1,131
2,501
571
1,982
516
3,256
24","829
1,743
507
107
291
731
1,593
314
59
35
620
2,852
500
85
61
512
2,454
317
-
571
1,842
313
35
24","-
441
477
2,673
11
-
370
292
100
40
-
430
485
2,623
20
-
310
277
-
-
140
107
35
-"
