Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,6.85,5.11,-4446.2,0.0,19.22,-668.0,-34.755463059313215,74.59854014598541,-0.11492960280689128,,
2024,1.0,10.56,-1414.6,0.0,4.0,-1297.8,-324.45,1056.0,-0.7465007776049768,-85.40145985401459,106.65362035225047
2025,1.0,1.96,6813.0,0.0,4.0,-1539.3,-384.825,196.0,0.028768530750036693,0.0,-81.43939393939394
