Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,6.85,5.11,-4446.2,0.0,19.22,-668.0
2024,1.0,10.56,-1414.6,0.0,4.0,-1297.8
2025,1.0,1.96,6813.0,0.0,4.0,-1539.3
