"Balance with Banks in RBI Depositors Education and Awareness Fund Rs. 41,278 (31.03.2025 - Rs. 41,278, 31.03.2024 -
Rs. 41,278)","0 .03
31.47
0 .01
-","0 .08
21.59
0 .01
-",,-
"Deposit with or
- Under Lie
- Others",,,,
,,,"-
6 .32","0 .07
-"
"Deposits with o
- Under Lie
- Others",,,,
,,,"1 .08
-","2 .21
5 .07"
,31.51,21.68,7 .40,7 .35
"* Out of the above, deposits of Nil (31.03.2025 - Nil, 31.03.2024 - Nil, 31.03.2023 - Rs. 0.07 crores) were in the name of transferor company.",,,,
