i) Amount required to be spent by the group during the period/ year,2 .54,3 .95,1.87,0 .98
ii) Amount spent during the period/ year on:,,,,
a) Construction/acquisition of any asset,-,-,-,-
b) For purposes other than (i) above,2 .73,3 .94,1.87,0 .98
iii) Shortfall (Excess) at the end of the period/ year,( 0.17),0 .01,-,-
iv) Total of previous years shortfall,-,-,-,-
"v)Reasonforshortfall–Asinformedbythemanagement,aportionoftheCSRfundsallocatedbytheCompanyforthefinancialyear2024–25
remained unutilized as of March 31, 2025, as certain supported projects were not fully executed in line with the projected budgets.",,,,
"vi)NatureofCSRactivitiesincludepromotingeducationamongchildren,women,elderlyandtosupportespeciallynon-profitorganization
workingfordisabledchildrenfromunderprivilegedbackground,promotinghealthcareincludingpreventivehealthcareanderadicating
hungerandmalnutrition,employmentandlivelihoodenhancingvocationskillsanddisastermanagement,includingrelief,rehabilitationand
reconstruction activities.",,,,
"vii)NoAmountisrequiredtobetransferredtoaspecialaccountdesignatedas“UnspentCorporateSocialResponsibilityAccount”ofthe
Company within 30 days from end of financial period/year.",,,,
"viii)TheCompanyhasrecognizedaprovisionofRs.0.01croreduringthefinancialyear2024-25towardsCorporateSocialResponsibility(CSR)
expenses.TheunspentCSRamounthasbeentransferredtothespecifiedfundinMay2025,inaccordancewithapplicableregulations.No
provision for CSR expenses was carried in any other financial period/years.",,,,
