,"Foreign Currency
Translation
Reserve","Effective Portion
of Cash Flow
Hedges","Remeasurement of
the net defined
benefit plans"
"As at 01.04.2022
Less: Hedging Gain (Loss) transferred to Statement of Profit and Loss
Add: Other Comprehensive Income for the year
As at 31.03.2023
Less: Hedging Gain (Loss) transferred to Statement of Profit and Loss
Add: Other Comprehensive Income for the year
As at 31.03.2024
Less: Hedging Gain (Loss) transferred to Statement of Profit and Loss
Add: Other Comprehensive Income for the year
As at 31.03.2025
Less: Hedging Gain (Loss) transferred to Statement of Profit and Loss
Add: Other Comprehensive Income for the period
As at 30.09.2025","-
-
0 .21","0 .64
( 0.64)
( 0.22)","0 .43
-
( 0.60)"
,"0 .21
-
0 .12","( 0.22)
0 .22
0 .31","( 0.16)
-
( 0.85)"
,"0 .33
-
0 .17","0 .31
( 0.31)
0 .14","( 1.01)
-
( 0.83)"
,"0 .50
-
1 .20","0 .14
( 0.14)
( 0.48)","( 1.84)
-
( 0.66)"
,1 .70,( 0.48),( 2.50)
