,Particulars,Holding Company,,,,Subsidiary Company,,,,
,,30.09.2025,31.03.2025,31.03.2024,31.03.2023,30.09.2025,31.03.2025,31.03.2024,31.03.2023,
,Mortality,"IALM
(2012-14)","IALM
(2012-14)","IALM
(2012-14)","IALM
(2012-14)","IALM
(2012-14)","IALM
(2012-14)","IALM
(2012-14)",NA,
,Leave Availment Rate,4.00%,4.00%,4.00%,4.00%,1.00%,1.00%,1.00%,NA,
