Category,Currency,"Cross
Currency",30.09.2025,31.03.2025,31.03.2024,31.03.2023,Buy/Sell
"Hedges of highly
probable forecasted
transactions",USD,INR,USD 0.50,USD 0.50,USD 0.50,USD 0.91,Sell
,USD,INR,USD Nil,USD Nil,USD Nil,USD 0.09,Buy
